emotion,datetime
fear,2022-11-20 10:54:25.580070
sad,2022-11-20 10:54:28.549595
sad,2022-11-20 10:54:40.258385
sad,2022-11-20 10:54:46.074192
happy,2022-11-20 10:54:49.096724
sad,2022-11-20 10:55:07.243198
disgust,2022-11-20 10:55:10.237593
sad,2022-11-20 10:55:33.173605
sad,2022-11-20 10:55:36.117468
happy,2022-11-20 10:55:41.909001
disgust,2022-11-20 10:55:47.698035
sad,2022-11-20 10:56:07.733406
sad,2022-11-20 10:56:13.522316
fear,2022-11-20 10:58:15.735672
sad,2022-11-20 10:58:18.681942
happy,2022-11-20 10:59:44.161620
sad,2022-11-20 10:59:47.156150
sad,2022-11-20 10:59:50.116172
happy,2022-11-20 11:00:04.447456
sad,2022-11-20 11:00:13.141709
happy,2022-11-20 11:00:16.084911
sad,2022-11-20 11:00:24.920224
sad,2022-11-20 11:00:27.926641
sad,2022-11-20 11:00:30.961176
sad,2022-11-20 11:00:33.907041
sad,2022-11-22 13:22:54.506446
disgust,2022-11-22 13:22:59.075961
sad,2022-11-22 13:23:03.609837
sad,2022-11-22 13:23:07.921774
neutral,2022-11-22 13:23:12.363664
happy,2022-11-22 13:23:16.735387
sad,2022-11-22 13:23:25.468396
sad,2022-11-22 13:23:29.987169
sad,2022-11-22 13:23:34.478455
happy,2022-11-22 13:23:40.127652
sad,2022-11-22 13:23:51.695753
sad,2022-11-22 13:23:56.610903
happy,2022-11-22 13:24:01.134745
happy,2022-11-22 13:24:05.585517
neutral,2022-11-22 13:24:11.724622
happy,2022-11-22 13:24:18.273913
disgust,2022-11-22 13:24:25.296865
happy,2022-11-22 13:24:31.827826
happy,2022-11-22 13:24:38.488866
happy,2022-11-22 13:24:45.078547
disgust,2022-11-22 13:24:50.396848
happy,2022-11-22 13:24:54.809524
happy,2022-11-22 13:24:59.183994
happy,2022-11-22 13:25:03.581465
happy,2022-11-22 13:25:08.015722
happy,2022-11-22 13:25:12.789276
neutral,2022-11-22 14:22:40.009204
sad,2022-11-22 14:22:44.245127
sad,2022-11-22 14:22:48.885275
neutral,2022-11-22 14:22:53.543045
sad,2022-11-22 14:23:00.007557
neutral,2022-12-29 15:28:26.847979
surprise,2022-12-29 15:29:04.696098
sad,2022-12-29 15:31:22.661068
disgust,2022-12-29 15:32:49.270337
happy,2022-12-29 15:32:55.769848
fear,2022-12-29 15:33:01.524357
sad,2022-12-29 15:33:07.718370
disgust,2022-12-29 15:33:14.074461
disgust,2022-12-29 15:33:20.359571
sad,2022-12-29 15:33:26.614135
sad,2022-12-29 15:33:32.554198
sad,2022-12-29 15:33:38.669154
angry,2022-12-29 15:33:44.766440
sad,2022-12-29 15:33:50.969145
neutral,2022-12-29 15:33:57.235377
sad,2022-12-29 15:34:03.721138
surprise,2022-12-29 15:34:28.837891
sad,2022-12-29 15:34:34.510304
sad,2022-12-29 15:34:39.843482
sad,2022-12-29 15:34:46.015754
sad,2022-12-29 15:34:51.941548
sad,2022-12-29 15:34:57.701275
disgust,2022-12-29 15:35:03.703249
sad,2022-12-29 15:35:09.417136
sad,2022-12-29 15:35:15.406220
sad,2022-12-29 15:35:21.262413
sad,2022-12-29 15:42:54.513256
sad,2022-12-29 15:43:01.116511
sad,2022-12-29 15:43:07.669731
sad,2022-12-29 15:43:14.002971
sad,2022-12-29 15:43:20.473398
sad,2022-12-29 15:43:26.677392
sad,2022-12-29 15:43:32.968258
sad,2022-12-29 15:43:39.265397
sad,2022-12-29 15:43:45.369076
neutral,2022-12-29 15:43:51.501085
sad,2022-12-29 15:43:57.705136
sad,2022-12-29 15:44:03.906514
sad,2022-12-29 15:44:10.020495
sad,2022-12-29 15:44:16.090653
disgust,2022-12-29 15:44:22.312019
disgust,2022-12-29 15:44:28.523013
disgust,2022-12-29 15:44:34.747452
sad,2022-12-29 15:44:41.017211
sad,2022-12-29 15:44:47.248737
fear,2022-12-29 15:44:53.480747
angry,2022-12-29 15:44:59.707725
sad,2022-12-29 15:45:06.447781
disgust,2022-12-29 15:45:12.763637
